title,identifier,url,date,pages,thumb_url,views,color,per_text,pen_color
"Marion Stokes Journal (Feb 6, 17, 23 and Mar 4, 5, 28, 1960)",marionstokesjournal1960-02-06,http://archive.org/details/marionstokesjournal1960-02-06,date:[1960-02-06 AND 1960-02-17 AND 1960-02-23 AND 1960-03-04 AND 1960-03-05 AND 1960-03-28],69,https://archive.org/download/marionstokesjournal1960-02-06/__ia_thumb.jpg,76,[232 223 205],17.6,undetermined
"Marion Stokes Journal (August, 1960)",marionstokesjournal1960-08-00,http://archive.org/details/marionstokesjournal1960-08,date:[1960-08-01 TO 1960-08-31],7,https://archive.org/download/marionstokesjournal1960-08-00/__ia_thumb.jpg,10,[215 180 162],14.3,undetermined
"Marion Stokes Journal (October 20, 1960)",marionstokesjournal1960-10-20,http://archive.org/details/marionstokesjournal1960-10-20,date:[1960-10-20],7,https://archive.org/download/marionstokesjournal1960-10-20/__ia_thumb.jpg,59,[231 219 199],36.1,undetermined
"Marion Stokes Journal (May 12, 1961)",marionstokesjournal1961-05-12,http://archive.org/details/marionstokesjournal1961-05-12,date:[1961-05-12],5,https://archive.org/download/marionstokesjournal1961-05-12/__ia_thumb.jpg,44,[236 229 213],16.6,undetermined
"Marion Stokes Journal (July, 1961)",marionstokesjournal1961-07-00,http://archive.org/details/marionstokesjournal1961-07,date:[1961-07-01 TO 1961-07-31],17,https://archive.org/download/marionstokesjournal1961-07-00/__ia_thumb.jpg,6,[228 221 206],13.5,undetermined
"Marion Stokes Journal (July 11, 1961)",marionstokesjournal1961-07-11,http://archive.org/details/marionstokesjournal1961-07-11,date:[1961-07-11],15,https://archive.org/download/marionstokesjournal1961-07-11/__ia_thumb.jpg,65,[240 234 218],12.7,undetermined
"Marion Stokes Journal (July 23, 1961)",marionstokesjournal1961-07-23,http://archive.org/details/marionstokesjournal1961-07-23,date:[1961-07-23],25,https://archive.org/download/marionstokesjournal1961-07-23/__ia_thumb.jpg,110,[234 228 212],14.5,undetermined
"Marion Stokes Journal (July 24 and 25, 1961)",marionstokesjournal1961-07-24,http://archive.org/details/marionstokesjournal1961-07-24,date:[1961-07-24 AND 1961-07-25],3,https://archive.org/download/marionstokesjournal1961-07-24/__ia_thumb.jpg,40,[227 220 204],13.8,undetermined
"Marion Stokes Journal (July 26, 1961)",marionstokesjournal1961-07-26,http://archive.org/details/marionstokesjournal1961-07-26,date:[1961-07-26],3,https://archive.org/download/marionstokesjournal1961-07-26/__ia_thumb.jpg,44,[231 226 208],15.0,undetermined
"Marion Stokes Journal (August, 1961)",marionstokesjournal1961-08-00,http://archive.org/details/marionstokesjournal1961-08,date:[1961-08-01 TO 1961-08-31],3,https://archive.org/download/marionstokesjournal1961-08-00/__ia_thumb.jpg,5,[232 222 199],17.2,undetermined
"Marion Stokes Journal (August 1, 1961)",marionstokesjournal1961-08-01,http://archive.org/details/marionstokesjournal1961-08-01,date:[1961-08-01],9,https://archive.org/download/marionstokesjournal1961-08-01/__ia_thumb.jpg,48,[231 226 209],14.0,undetermined
"Marion Stokes Journal (November, 1961)",marionstokesjournal1961-11-00,http://archive.org/details/marionstokesjournal1961-11,date:[1961-11-01 TO 1961-11-30],3,https://archive.org/download/marionstokesjournal1961-11-00/__ia_thumb.jpg,7,[238 205 200],28.7,undetermined
"Marion Stokes Journal (November 19, 1961)",marionstokesjournal1961-11-19,http://archive.org/details/marionstokesjournal1961-11-19,date:[1961-11-19],9,https://archive.org/download/marionstokesjournal1961-11-19/__ia_thumb.jpg,39,[232 222 200],21.0,undetermined
"Marion Stokes Journal (November 20, 1961)",marionstokesjournal1961-11-20,http://archive.org/details/marionstokesjournal1961-11-20,date:[1961-11-20],3,https://archive.org/download/marionstokesjournal1961-11-20/__ia_thumb.jpg,30,[233 222 199],31.6,undetermined
"Marion Stokes Journal (November 21, 1961)",marionstokesjournal1961-11-21,http://archive.org/details/marionstokesjournal1961-11-21,date:[1961-11-21],3,https://archive.org/download/marionstokesjournal1961-11-21/__ia_thumb.jpg,33,[229 215 191],41.6,undetermined
"Marion Stokes Journal (December 15, 1961)",marionstokesjournal1961-12-15,http://archive.org/details/marionstokesjournal1961-12-15,date:[1961-12-15],8,https://archive.org/download/marionstokesjournal1961-12-15/__ia_thumb.jpg,54,[210 186 145],13.3,undetermined
"Marion Stokes Journal (January 18, 1962)",marionstokesjournal1962-01-18,http://archive.org/details/marionstokesjournal1962-01-18,date:[1962-01-18],5,https://archive.org/download/marionstokesjournal1962-01-18/__ia_thumb.jpg,42,[212 185 147],28.2,undetermined
"Marion Stokes Journal (January 22, 1962)",marionstokesjournal1962-01-22,http://archive.org/details/marionstokesjournal1962-01-22,date:[1962-01-22],7,https://archive.org/download/marionstokesjournal1962-01-22/__ia_thumb.jpg,47,[208 184 142],17.0,undetermined
"Marion Stokes Journal (January 28, 1962)",marionstokesjournal1962-01-28,http://archive.org/details/marionstokesjournal1962-01-28,date:[1962-01-28],19,https://archive.org/download/marionstokesjournal1962-01-28/__ia_thumb.jpg,27,[212 189 148],13.2,undetermined
"Marion Stokes Journal (February 6, 1962)",marionstokesjournal1962-02-06,http://archive.org/details/marionstokesjournal1962-02-06,date:[1962-02-06],3,https://archive.org/download/marionstokesjournal1962-02-06/__ia_thumb.jpg,5,[212 189 149],13.4,undetermined
"Marion Stokes Journal (February 7, 1962)",marionstokesjournal1962-02-07,http://archive.org/details/marionstokesjournal1962-02-07,date:[1962-02-07],8,https://archive.org/download/marionstokesjournal1962-02-07/__ia_thumb.jpg,9,[212 188 147],14.5,undetermined
"Marion Stokes Journal (February 8, 1962)",marionstokesjournal1962-02-08,http://archive.org/details/marionstokesjournal1962-02-08,date:[1962-02-08],6,https://archive.org/download/marionstokesjournal1962-02-08/__ia_thumb.jpg,9,[217 189 149],14.4,undetermined
